AVAPS-T01 STA 132855101 140630 171042.59
AVAPS-T01 COM            UTC     UTC      Wind   Vert      GPS        GPS     Geopoten GPS Wind    GPS   
AVAPS-T01 COM   Sonde    Date    Time     Spd    Veloc  Longitude   Latitude  Altitude Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat (m/s)    (m)  
AVAPS-T01 COM --------- ------ --------- ------ ------ ----------- ---------- -------- --- ----- --------
AVAPS-D01 S00 132855101 140630 173056.75  15.06 -16.44  -80.126101  28.571495  2506.29  12  0.67  2507.93
AVAPS-D01 S10 132855101 140630 173057.00  15.43 -16.49  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S11 132855101 140630 173057.25 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173057.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173057.75  15.87 -16.43  -80.126158  28.571366  2492.23  12  0.62  2491.43
AVAPS-D01 S10 132855101 140630 173058.00  16.13 -16.43  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S01 132855101 140630 173058.25  15.71 -16.35  -80.126191  28.571321  2475.89  12  0.62  2484.49
AVAPS-D01 S10 132855101 140630 173058.50  16.52 -16.40  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173058.75  16.55 -16.51  -80.126225  28.571233  2475.10  12  0.53  2474.86
AVAPS-D01 S10 132855101 140630 173059.00  17.19 -16.77  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173059.25  16.99 -16.85  -80.126260  28.571164  2463.68  12  0.53  2466.47
AVAPS-D01 S10 132855101 140630 173059.50  16.79 -16.74  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173059.75  17.12 -16.62  -80.126290  28.571092  2456.23  12  0.60  2458.24
AVAPS-D01 S10 132855101 140630 173100.00  16.73 -16.49  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173100.25  16.06 -16.48  -80.126315  28.571020  2448.82  12  0.55  2450.01
AVAPS-D01 S10 132855101 140630 173100.50  15.47 -16.40  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173100.75  14.75 -16.42  -80.126336  28.570955  2438.99  12  0.58  2441.88
AVAPS-D01 S10 132855101 140630 173101.00  14.29 -16.33  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173101.25  13.77 -16.35  -80.126354  28.570892  2432.40  12  0.58  2433.76
AVAPS-D01 S10 132855101 140630 173101.50  13.52 -16.41  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173101.75  13.67 -16.35  -80.126373  28.570832  2422.66  12  0.56  2425.50
AVAPS-D01 S10 132855101 140630 173102.00  13.08 -16.53  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173102.25  12.58 -16.83  -80.126397  28.570777  2417.04  12  0.58  2416.85
AVAPS-D01 S10 132855101 140630 173102.50  12.67 -16.89  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173102.75  12.73 -16.72  -80.126423  28.570723  2410.16  12  0.58  2408.51
AVAPS-D01 S10 132855101 140630 173103.00  12.14 -16.99  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173103.25  13.15 -17.24  -80.126446  28.570671  2395.25  12  0.59  2399.66
AVAPS-D01 S10 132855101 140630 173103.50  13.09 -17.20  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173103.75  12.85 -17.00  -80.126464  28.570614  2391.31  12  0.63  2391.35
AVAPS-D01 S10 132855101 140630 173104.00  12.49 -16.97  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S01 132855101 140630 173104.25  11.76 -16.85  -80.126481  28.570560  2380.99  12  0.64  2383.07
AVAPS-D01 S10 132855101 140630 173104.50  11.95 -16.67  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173104.75  11.80 -16.58  -80.126499  28.570509  2371.39  12  0.65  2374.92
AVAPS-D01 S10 132855101 140630 173105.00  11.49 -16.56  999.000000  99.000000 99999.00  11  0.66 99999.00
AVAPS-D01 S00 132855101 140630 173105.25  11.80 -16.47  -80.126520  28.570459  2364.28  12  0.64  2366.73
AVAPS-D01 S10 132855101 140630 173105.50  12.01 -16.35  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S00 132855101 140630 173105.75  11.58 -16.26  -80.126544  28.570410  2354.91  12  0.62  2358.70
AVAPS-D01 S10 132855101 140630 173106.00  11.08 -16.39  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173106.25  11.80 -16.26  -80.126563  28.570361  2357.56  12  0.61  2350.67
AVAPS-D01 S10 132855101 140630 173106.50  11.22 -16.19  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173106.75  11.35 -16.29  -80.126580  28.570312  2339.30  12  0.62  2342.51
AVAPS-D01 S11 132855101 140630 173107.00  12.02 -16.15  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173107.25  12.10 -16.14  -80.126595  28.570260  2331.75  12  0.62  2334.53
AVAPS-D01 S10 132855101 140630 173107.50  12.07 -16.14  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S01 132855101 140630 173107.75  12.64 -16.42  -80.126609  28.570206  2323.93  12  0.61  2326.72
AVAPS-D01 S10 132855101 140630 173108.00  11.96 -16.07  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173108.25  12.13 -16.01  -80.126622  28.570153  2319.52  12  0.58  2318.82
AVAPS-D01 S10 132855101 140630 173108.50  12.20 -15.93  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173108.75  12.89 -15.81  -80.126631  28.570098  2307.55  12  0.56  2310.96
AVAPS-D01 S10 132855101 140630 173109.00  13.28 -15.84  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173109.25  13.05 -15.86  -80.126640  28.570040  2300.02  12  0.57  2302.97
AVAPS-D01 S10 132855101 140630 173109.50  12.73 -15.87  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173109.75  11.99 -16.05  -80.126649  28.569983  2293.27  12  0.60  2294.95
AVAPS-D01 S10 132855101 140630 173110.00  11.96 -16.02  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S01 132855101 140630 173110.25 999.00  99.00  -80.126659  28.569930  2282.70  12  0.62  2287.14
AVAPS-D01 S10 132855101 140630 173110.50  12.26 -15.88  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173110.75  11.57 -16.15  -80.126668  28.569877  2278.77  12  0.56  2278.98
AVAPS-D01 S10 132855101 140630 173111.00  12.52 -16.39  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173111.25  12.19 -16.18  -80.126674  28.569822  2259.79  12  0.55  2270.76
AVAPS-D01 S11 132855101 140630 173111.50 163.19 -41.00  999.000000  99.000000 99999.00  12  0.55 99999.00
AVAPS-D01 S00 132855101 140630 173111.75  13.14 -16.60  -80.126682  28.569765  2259.57  12  0.56  2262.23
AVAPS-D01 S10 132855101 140630 173112.00  13.40 -16.57  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173112.25  13.51 -16.63  -80.126698  28.569705  2256.71  11  0.59  2253.80
AVAPS-D01 S10 132855101 140630 173112.50  13.96 -17.00  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S10 132855101 140630 173112.75  14.94 -17.03  -80.126717  28.569643 99999.00  12  0.65  2245.05
AVAPS-D01 S10 132855101 140630 173113.00  15.16 -16.99  999.000000  99.000000 99999.00  12  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173113.25  14.21 -16.92  -80.126735  28.569579  2235.90  12  0.60  2236.69
AVAPS-D01 S10 132855101 140630 173113.50  13.40 -17.09  999.000000  99.000000 99999.00  11  0.65 99999.00
AVAPS-D01 S10 132855101 140630 173113.75  13.61 -17.00  -80.126756  28.569520 99999.00  10  0.67  2228.10
AVAPS-D01 S10 132855101 140630 173114.00  14.13 -16.92  999.000000  99.000000 99999.00   9  0.71 99999.00
AVAPS-D01 S00 132855101 140630 173114.25  15.21 -16.98  -80.126781  28.569458  2217.34  11  0.61  2219.71
AVAPS-D01 S10 132855101 140630 173114.50  14.44 -16.81  999.000000  99.000000 99999.00  12  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173114.75  14.29 -16.61  -80.126803  28.569396  2209.52  12  0.66  2211.67
AVAPS-D01 S10 132855101 140630 173115.00  13.80 -16.55  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S01 132855101 140630 173115.25 999.00  99.00  -80.126824  28.569338  2199.64  12  0.68  2203.43
AVAPS-D01 S10 132855101 140630 173115.50  13.59 -16.43  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S00 132855101 140630 173115.75  12.76 -16.44  -80.126847  28.569281  2192.55  12  0.63  2195.18
AVAPS-D01 S10 132855101 140630 173116.00  12.53 -16.58  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173116.25  13.16 -16.50  -80.126865  28.569226  2184.32  12  0.59  2186.92
AVAPS-D01 S10 132855101 140630 173116.50  13.10 -16.35  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173116.75  13.61 -16.40  -80.126878  28.569168  2176.74  12  0.59  2178.85
AVAPS-D01 S10 132855101 140630 173117.00  13.76 -16.36  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173117.25  14.26 -16.22  -80.126893  28.569107  2168.16  12  0.63  2170.89
AVAPS-D01 S10 132855101 140630 173117.50  15.10 -16.29  999.000000  99.000000 99999.00  12  0.67 99999.00
AVAPS-D01 S10 132855101 140630 173117.75  15.64 -16.30  -80.126909  28.569041 99999.00  12  0.63  2162.79
AVAPS-D01 S10 132855101 140630 173118.00  15.50 -16.16  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173118.25  16.09 -16.17  -80.126930  28.568973  2152.67  12  0.55  2154.77
AVAPS-D01 S10 132855101 140630 173118.50  15.65 -16.21  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173118.75  15.62 -16.20  -80.126958  28.568906  2145.13  12  0.65  2146.76
AVAPS-D01 S10 132855101 140630 173119.00  15.06 -16.07  999.000000  99.000000 99999.00  12  0.69 99999.00
AVAPS-D01 S11 132855101 140630 173119.25 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173119.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173119.75  13.97 -15.92  -80.127004  28.568782  2131.01  12  0.58  2130.99
AVAPS-D01 S10 132855101 140630 173120.00  14.50 -16.00  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173120.25  14.82 -16.06  -80.127021  28.568719  2119.72  12  0.61  2122.93
AVAPS-D01 S10 132855101 140630 173120.50  14.93 -15.91  999.000000  99.000000 99999.00  12  0.53 99999.00
AVAPS-D01 S00 132855101 140630 173120.75  15.37 -15.97  -80.127035  28.568653  2122.78  12  0.51  2114.95
AVAPS-D01 S10 132855101 140630 173121.00  15.50 -16.15  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173121.25  16.66 -16.31  -80.127048  28.568583  2105.47  12  0.57  2106.71
AVAPS-D01 S10 132855101 140630 173121.50  16.47 -16.28  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173121.75  15.53 -16.01  -80.127062  28.568511  2099.83  12  0.57  2098.79
AVAPS-D01 S10 132855101 140630 173122.00  16.04 -16.10  999.000000  99.000000 99999.00  12  0.55 99999.00
AVAPS-D01 S00 132855101 140630 173122.25  16.89 -16.37  -80.127076  28.568439  2073.36  12  0.53  2090.26
AVAPS-D01 S10 132855101 140630 173122.50  18.31 -16.52  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173122.75  18.13 -16.59  -80.127096  28.568362  2082.28  12  0.56  2081.63
AVAPS-D01 S10 132855101 140630 173123.00  17.33 -16.61  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173123.25  17.11 -16.39  -80.127123  28.568286  2075.72  12  0.69  2073.56
AVAPS-D01 S10 132855101 140630 173123.50  15.81 -16.40  999.000000  99.000000 99999.00  11  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173123.75  15.88 -16.50  -80.127144  28.568217  2063.85  12  0.62  2065.05
AVAPS-D01 S10 132855101 140630 173124.00  16.04 -16.34  999.000000  99.000000 99999.00  12  0.70 99999.00
AVAPS-D01 S00 132855101 140630 173124.25  15.79 -16.15  -80.127161  28.568146  2053.97  12  0.57  2057.19
AVAPS-D01 S10 132855101 140630 173124.50  16.14 -16.04  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173124.75  16.18 -15.94  -80.127175  28.568075  2047.20  12  0.53  2049.40
AVAPS-D01 S10 132855101 140630 173125.00  16.49 -15.85  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173125.25  16.23 -15.83  -80.127186  28.568002  2039.22  12  0.63  2041.49
AVAPS-D01 S10 132855101 140630 173125.50  16.55 -15.84  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173125.75  16.19 -15.94  -80.127203  28.567930  2032.10  12  0.56  2033.29
AVAPS-D01 S10 132855101 140630 173126.00  15.48 -15.93  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173126.25  14.80 -15.89  -80.127226  28.567864  2022.62  12  0.56  2025.16
AVAPS-D01 S10 132855101 140630 173126.50  14.27 -15.95  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173126.75  14.09 -15.96  -80.127245  28.567802  2017.83  12  0.59  2017.20
AVAPS-D01 S10 132855101 140630 173127.00  13.90 -15.98  999.000000  99.000000 99999.00  12  0.55 99999.00
AVAPS-D01 S00 132855101 140630 173127.25  15.16 -16.09  -80.127261  28.567739  2011.60  12  0.51  2009.10
AVAPS-D01 S10 132855101 140630 173127.50  15.58 -16.20  999.000000  99.000000 99999.00  12  0.51 99999.00
AVAPS-D01 S00 132855101 140630 173127.75  16.62 -16.18  -80.127274  28.567669  1996.86  12  0.53  2001.00
AVAPS-D01 S10 132855101 140630 173128.00  16.28 -16.09  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S01 132855101 140630 173128.25  15.87 -15.91  -80.127284  28.567596  1995.25  12  0.56  1993.26
AVAPS-D01 S10 132855101 140630 173128.50  16.27 -15.96  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173128.75  15.69 -16.01  -80.127290  28.567524  1982.43  12  0.59  1985.30
AVAPS-D01 S10 132855101 140630 173129.00  15.39 -15.86  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173129.25  15.17 -15.78  -80.127297  28.567454  1978.56  12  0.59  1977.60
AVAPS-D01 S10 132855101 140630 173129.50  15.08 -15.88  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173129.75  15.45 -15.96  -80.127300  28.567386  1966.62  12  0.60  1969.50
AVAPS-D01 S10 132855101 140630 173130.00  15.32 -15.93  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173130.25  15.52 -15.82  -80.127305  28.567316  1960.62  12  0.54  1961.86
AVAPS-D01 S10 132855101 140630 173130.50  14.93 -15.81  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173130.75  14.70 -15.69  -80.127310  28.567248  1952.78  12  0.55  1954.18
AVAPS-D01 S10 132855101 140630 173131.00  14.46 -15.65  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S01 132855101 140630 173131.25 999.00  99.00    0.006439  82.460583  1944.02   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173131.50 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173131.75  13.14 -15.60  -80.127325  28.567123  1937.35  12  0.60  1938.62
AVAPS-D01 S11 132855101 140630 173132.00 999.00  99.00  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173132.25  12.68 -15.67  -80.127337  28.567064  1927.67  12  0.57  1930.81
AVAPS-D01 S10 132855101 140630 173132.50  13.06 -15.75  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173132.75  12.88 -15.61  -80.127353  28.567007  1920.63  12  0.58  1922.95
AVAPS-D01 S11 132855101 140630 173133.00  12.92 -16.04  999.000000  99.000000 99999.00  12 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173133.25  12.80 -16.59  -80.127369  28.566952  1907.46  12  0.60  1914.08
AVAPS-D01 S10 132855101 140630 173133.50  12.78 -16.96  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173133.75  12.46 -17.38  -80.127378  28.566896  1908.73  12  0.62  1904.94
AVAPS-D01 S10 132855101 140630 173134.00  14.33 -17.35  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173134.25  14.48 -17.25  -80.127377  28.566832  1896.44  12  0.58  1896.20
AVAPS-D01 S10 132855101 140630 173134.50  15.41 -17.00  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173134.75  16.48 -17.20  -80.127377  28.566762  1885.76  12  0.65  1887.57
AVAPS-D01 S10 132855101 140630 173135.00  16.26 -17.20  999.000000  99.000000 99999.00  12  0.68 99999.00
AVAPS-D01 S00 132855101 140630 173135.25  15.99 -16.91  -80.127381  28.566690  1884.47  12  0.65  1879.44
AVAPS-D01 S10 132855101 140630 173135.50  17.09 -17.17  999.000000  99.000000 99999.00  12  0.76 99999.00
AVAPS-D01 S00 132855101 140630 173135.75  18.49 -17.52  -80.127385  28.566612  1869.79  12  0.94  1870.39
AVAPS-D01 S11 132855101 140630 173136.00  18.10 -17.42  999.000000  99.000000 99999.00  12 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173136.25  17.65 -17.25  -80.127395  28.566533  1859.80  12  0.74  1861.98
AVAPS-D01 S10 132855101 140630 173136.50  17.25 -16.93  999.000000  99.000000 99999.00  12  0.73 99999.00
AVAPS-D01 S00 132855101 140630 173136.75  18.70 -17.25  -80.127405  28.566454  1856.11  12  0.90  1853.59
AVAPS-D01 S10 132855101 140630 173137.00  19.12 -17.48  999.000000  99.000000 99999.00  12  1.00 99999.00
AVAPS-D01 S00 132855101 140630 173137.25  17.87 -17.43  -80.127411  28.566372  1840.63  12  0.92  1844.67
AVAPS-D01 S10 132855101 140630 173137.50  18.54 -17.41  999.000000  99.000000 99999.00  12  0.85 99999.00
AVAPS-D01 S00 132855101 140630 173137.75  17.15 -17.62  -80.127423  28.566292  1838.57  11  0.78  1836.01
AVAPS-D01 S10 132855101 140630 173138.00  15.13 -17.66  999.000000  99.000000 99999.00  12  0.69 99999.00
AVAPS-D01 S00 132855101 140630 173138.25  14.80 -17.42  -80.127440  28.566226  1826.75  12  0.59  1827.70
AVAPS-D01 S10 132855101 140630 173138.50  14.34 -17.12  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S11 132855101 140630 173138.75 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173139.00 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173139.25  14.62 -17.13  -80.127472  28.566101  1810.44  12  0.55  1811.10
AVAPS-D01 S11 132855101 140630 173139.50  14.54 -16.78  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173139.75  15.24 -16.64  -80.127484  28.566037  1805.80  12  0.57  1803.27
AVAPS-D01 S10 132855101 140630 173140.00  15.45 -16.49  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173140.25  14.60 -16.25  -80.127496  28.565971  1793.17  12  0.54  1795.49
AVAPS-D01 S10 132855101 140630 173140.50  15.61 -16.30  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173140.75  16.03 -16.67  -80.127508  28.565903  1786.44  12  0.55  1787.02
AVAPS-D01 S11 132855101 140630 173141.00 999.00  99.00  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173141.25  16.96 -16.72  -80.127527  28.565830  1779.27  12  0.63  1778.60
AVAPS-D01 S10 132855101 140630 173141.50  16.84 -16.54  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173141.75  17.75 -16.48  -80.127551  28.565756  1771.89  12  0.56  1770.49
AVAPS-D01 S10 132855101 140630 173142.00  17.83 -16.40  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173142.25  17.62 -16.30  -80.127577  28.565679  1760.40  11  0.72  1762.46
AVAPS-D01 S10 132855101 140630 173142.50  17.65 -16.16  999.000000  99.000000 99999.00  12  0.70 99999.00
AVAPS-D01 S01 132855101 140630 173142.75 999.00  99.00  -80.127604  28.565603  1753.67  12  0.58  1754.42
AVAPS-D01 S10 132855101 140630 173143.00  18.13 -16.57  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173143.25  17.83 -16.43  -80.127634  28.565528  1746.79  12  0.60  1746.26
AVAPS-D01 S10 132855101 140630 173143.50  17.59 -16.31  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173143.75  17.48 -16.30  -80.127666  28.565453  1739.22  11  0.59  1738.22
AVAPS-D01 S10 132855101 140630 173144.00  17.18 -16.21  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173144.25  17.06 -16.14  -80.127700  28.565381  1730.58  11  0.64  1730.36
AVAPS-D01 S10 132855101 140630 173144.50  17.46 -16.13  999.000000  99.000000 99999.00  11  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173144.75  16.82 -16.00  -80.127735  28.565310  1718.93  12  0.64  1722.35
AVAPS-D01 S10 132855101 140630 173145.00  16.93 -15.84  999.000000  99.000000 99999.00  12  0.64 99999.00
AVAPS-D01 S00 132855101 140630 173145.25  17.66 -16.08  -80.127768  28.565237  1716.60  12  0.54  1714.32
AVAPS-D01 S10 132855101 140630 173145.50  17.42 -16.37  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173145.75  16.22 -16.53  -80.127797  28.565164  1705.28  12  0.61  1705.93
AVAPS-D01 S10 132855101 140630 173146.00  15.70 -16.52  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173146.25  15.00 -16.44  -80.127817  28.565096  1697.57  12  0.63  1697.94
AVAPS-D01 S10 132855101 140630 173146.50  14.35 -16.41  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173146.75  14.06 -16.39  -80.127838  28.565036  1687.27  12  0.61  1690.01
AVAPS-D01 S10 132855101 140630 173147.00  14.41 -16.20  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173147.25  14.09 -16.35  -80.127860  28.564976  1682.00  12  0.60  1682.10
AVAPS-D01 S10 132855101 140630 173147.50  13.41 -16.67  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173147.75  13.30 -16.69  -80.127882  28.564917  1671.74  12  0.59  1673.53
AVAPS-D01 S10 132855101 140630 173148.00  13.22 -16.58  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173148.25  12.80 -16.77  -80.127907  28.564862  1664.02  12  0.62  1665.11
AVAPS-D01 S10 132855101 140630 173148.50  12.39 -16.85  999.000000  99.000000 99999.00  12  0.58 99999.00
AVAPS-D01 S00 132855101 140630 173148.75  12.50 -16.70  -80.127926  28.564808  1658.08  12  0.56  1656.89
AVAPS-D01 S10 132855101 140630 173149.00  12.41 -16.74  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173149.25  13.70 -16.66  -80.127950  28.564753  1649.24  12  0.61  1648.74
AVAPS-D01 S10 132855101 140630 173149.50  14.66 -16.51  999.000000  99.000000 99999.00  12  0.68 99999.00
AVAPS-D01 S00 132855101 140630 173149.75  14.95 -16.31  -80.127976  28.564691  1651.97  12  0.57  1640.90
AVAPS-D01 S10 132855101 140630 173150.00  14.76 -16.22  999.000000  99.000000 99999.00  11  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173150.25  13.39 -16.12  -80.127996  28.564629  1633.66  12  0.57  1633.09
AVAPS-D01 S10 132855101 140630 173150.50  13.42 -16.04  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173150.75  13.48 -15.86  -80.128014  28.564570  1625.16  12  0.58  1625.26
AVAPS-D01 S10 132855101 140630 173151.00  14.04 -15.96  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173151.25  14.79 -15.89  -80.128038  28.564509  1616.11  12  0.63  1617.37
AVAPS-D01 S10 132855101 140630 173151.50  15.06 -15.83  999.000000  99.000000 99999.00  12  0.66 99999.00
AVAPS-D01 S01 132855101 140630 173151.75 999.00  99.00    0.000054 -76.679211  1607.93   0 99.00 99999.00
AVAPS-D01 S11 132855101 140630 173152.00 999.00  99.00  999.000000  99.000000 99999.00   0 99.00 99999.00
AVAPS-D01 S00 132855101 140630 173152.25  15.86 -15.70  -80.128087  28.564379  1602.14  12  0.62  1601.84
AVAPS-D01 S10 132855101 140630 173152.50  16.69 -15.67  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173152.75  17.09 -15.60  -80.128112  28.564308  1596.65  12  0.66  1594.12
AVAPS-D01 S10 132855101 140630 173153.00  17.06 -15.56  999.000000  99.000000 99999.00  12  0.57 99999.00
AVAPS-D01 S00 132855101 140630 173153.25  16.93 -15.62  -80.128138  28.564235  1585.89  12  0.55  1586.32
AVAPS-D01 S10 132855101 140630 173153.50  16.05 -15.70  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173153.75  15.87 -15.66  -80.128169  28.564169  1580.54  12  0.66  1578.46
AVAPS-D01 S10 132855101 140630 173154.00  15.49 -15.58  999.000000  99.000000 99999.00  12  0.63 99999.00
AVAPS-D01 S00 132855101 140630 173154.25  14.87 -15.80  -80.128197  28.564106  1569.28  12  0.64  1570.50
